time,start_time,open,high,low,close,tick_volume,real_volume,num_time_bars,duration_seconds
2021-09-14 04:30:00,2021-09-13 18:00:00,1.18096,1.18171,1.18015,1.18083,13786,0,22,37800.0
2021-09-14 11:00:00,2021-09-14 05:00:00,1.18083,1.18299,1.18066,1.18238,13211,0,13,21600.0
2021-09-14 15:30:00,2021-09-14 11:30:00,1.18238,1.1846,1.18002,1.18415,15995,0,9,14400.0
2021-09-14 18:00:00,2021-09-14 16:00:00,1.18415,1.18457,1.18158,1.18215,14211,0,5,7200.0
2021-09-15 01:00:00,2021-09-14 18:30:00,1.18215,1.18278,1.18001,1.18017,13812,0,14,23400.0
2021-09-15 10:00:00,2021-09-15 01:30:00,1.1801599999999999,1.18155,1.17991,1.18142,14924,0,18,30600.0
2021-09-15 15:00:00,2021-09-15 10:30:00,1.1814,1.18319,1.18131,1.18309,14808,0,10,16200.0
2021-09-15 17:30:00,2021-09-15 15:30:00,1.18311,1.18311,1.18075,1.18187,14065,0,5,7200.0
2021-09-16 03:00:00,2021-09-15 18:00:00,1.18188,1.18216,1.18033,1.18169,13348,0,19,32400.0
2021-09-16 10:00:00,2021-09-16 03:30:00,1.18169,1.1820599999999999,1.17863,1.1789399999999999,13063,0,14,23400.0
2021-09-16 14:00:00,2021-09-16 10:30:00,1.1789399999999999,1.1793,1.17619,1.17727,13133,0,8,12600.0
2021-09-16 17:00:00,2021-09-16 14:30:00,1.17727,1.17741,1.17506,1.17582,15031,0,6,9000.0
2021-09-16 22:30:00,2021-09-16 17:30:00,1.17583,1.17712,1.17534,1.17691,13417,0,11,18000.0
2021-09-17 09:00:00,2021-09-16 23:00:00,1.17688,1.17747,1.17587,1.17719,13875,0,21,36000.0
2021-09-17 13:30:00,2021-09-17 09:30:00,1.17718,1.17875,1.1768399999999999,1.17829,13902,0,9,14400.0
2021-09-17 17:00:00,2021-09-17 14:00:00,1.17829,1.17888,1.17414,1.17418,14551,0,7,10800.0
2021-09-17 21:30:00,2021-09-17 17:30:00,1.17418,1.17483,1.17245,1.17291,13615,0,9,14400.0
2021-09-20 09:30:00,2021-09-17 22:00:00,1.17292,1.17322,1.17097,1.17146,13896,0,24,214200.0
2021-09-20 13:30:00,2021-09-20 10:00:00,1.17146,1.17184,1.17004,1.17129,13523,0,8,12600.0
