d,adf_stat,p_val,corr_with_orig,memory_lost,weight_len,n_obs,is_stationary
0.78,-10.045599324853928,1.4572957398992117e-17,0.2186968577776011,0.7813031422223989,70,1085,True
0.79,-10.187017296329373,6.468598205080645e-18,0.20960515379380817,0.7903948462061918,67,1088,True
0.8,-10.361862517618919,2.3849783580338314e-18,0.20006441731417085,0.7999355826858292,64,1091,True
0.81,-15.0243061901325,1.0116608032413734e-27,0.18785497190214948,0.8121450280978505,61,1094,True
0.82,-15.341388530241717,3.82693296602381e-28,0.18236943473786085,0.8176305652621392,58,1097,True
0.83,-15.577589210627737,1.9509766342751351e-28,0.17022082625787616,0.8297791737421238,56,1099,True
0.84,-15.928394279161939,7.779886870271322e-29,0.1664019200739862,0.8335980799260139,53,1102,True
0.85,-16.090676255686983,5.257507754673101e-29,0.16071742466391647,0.8392825753360835,50,1105,True
0.86,-16.337280034330096,3.0199768237910693e-29,0.1527504642845375,0.8472495357154625,48,1107,True
0.87,-16.5594468921628,1.9131035176409915e-29,0.14500972193482117,0.8549902780651788,45,1110,True
0.88,-16.808876700565733,1.2035498659678516e-29,0.1363954607465365,0.8636045392534635,43,1112,True
0.89,-17.142670659124285,7.027770593419828e-30,0.13291570964303864,0.8670842903569613,40,1115,True
0.9,-29.957736048644104,0.0,0.12258350895938122,0.8774164910406188,38,1117,True
0.91,-30.36001264578729,0.0,0.11663265185377633,0.8833673481462236,35,1120,True
0.92,-30.733701441877503,0.0,0.11048443119765189,0.8895155688023482,33,1122,True
0.93,-31.213353641691217,0.0,0.10482108117209646,0.8951789188279036,30,1125,True
0.94,-31.59983922608676,0.0,0.0996672031010761,0.9003327968989239,28,1127,True
0.95,-31.969391897249427,0.0,0.09424554559490973,0.9057544544050903,25,1130,True
0.96,-32.35627250381415,0.0,0.08924345880761328,0.9107565411923867,22,1133,True
0.97,-32.79904928604914,0.0,0.08267805558751254,0.9173219444124875,19,1136,True
0.98,-33.18108614354095,0.0,0.07595192035074581,0.9240480796492542,15,1140,True
0.99,-33.541334040156876,0.0,0.06409911225922325,0.9359008877407767,11,1144,True
1.0,-34.05478583451117,0.0,0.049456422314966025,0.950543577685034,2,1153,True
